Number of parameters in output net: 72
Number of parameters in hypernet: 646
Number of training points: 1280
Number of test points: 320
Epoch 8900 | Time 0.198 (0.220) | NFE-F 42.3 | NFE-B 129.0 | Test Acc 0.8625 | Train Acc 0.9078
Epoch 9000 | Time 0.264 (0.220) | NFE-F 45.6 | NFE-B 128.3 | Test Acc 0.8594 | Train Acc 0.9164
Epoch 9100 | Time 0.266 (0.230) | NFE-F 51.3 | NFE-B 132.7 | Test Acc 0.8719 | Train Acc 0.9117
Epoch 9200 | Time 0.244 (0.233) | NFE-F 54.0 | NFE-B 135.0 | Test Acc 0.9031 | Train Acc 0.9133
Epoch 9300 | Time 0.183 (0.234) | NFE-F 55.9 | NFE-B 134.5 | Test Acc 0.8688 | Train Acc 0.9078
Epoch 9400 | Time 0.253 (0.233) | NFE-F 56.7 | NFE-B 133.9 | Test Acc 0.9031 | Train Acc 0.9086
Epoch 9500 | Time 0.162 (0.238) | NFE-F 54.3 | NFE-B 138.5 | Test Acc 0.8844 | Train Acc 0.9172
Epoch 9600 | Time 0.154 (0.241) | NFE-F 57.1 | NFE-B 139.4 | Test Acc 0.8781 | Train Acc 0.9133
Epoch 9700 | Time 0.295 (0.253) | NFE-F 56.8 | NFE-B 147.7 | Test Acc 0.8625 | Train Acc 0.9016
Epoch 9800 | Time 0.247 (0.253) | NFE-F 56.1 | NFE-B 147.8 | Test Acc 0.8656 | Train Acc 0.9078
Epoch 9900 | Time 0.208 (0.256) | NFE-F 55.3 | NFE-B 149.8 | Test Acc 0.8750 | Train Acc 0.9109
Epoch 10000 | Time 0.377 (0.264) | NFE-F 54.9 | NFE-B 153.2 | Test Acc 0.8844 | Train Acc 0.9133
Model has not converged.
Number of parameters in output net: 72
Number of parameters in hypernet: 642
Number of training points: 1280
Number of test points: 320
Epoch 0100 | Time 0.048 (0.050) | NFE-F 20.5 | NFE-B 21.0 | Test Acc 0.6250 | Train Acc 0.6641
Epoch 0200 | Time 0.060 (0.063) | NFE-F 27.3 | NFE-B 26.7 | Test Acc 0.7094 | Train Acc 0.7211
Epoch 0300 | Time 0.063 (0.064) | NFE-F 27.2 | NFE-B 27.5 | Test Acc 0.7094 | Train Acc 0.7453
Epoch 0400 | Time 0.068 (0.064) | NFE-F 28.9 | NFE-B 27.1 | Test Acc 0.7094 | Train Acc 0.7516
